intro: 36, 0, 42, 38, 42, 0, 36, 42, 38, 42, 0, 36
intro: 36, 42, 0, 38, 42, 0, 36, 42, 38, 42, 36, 0
intro: 36, 36, 42, 0, 38, 42, 0, 36, 42, 38, 42, 36
intro: 36, 42, 38, 42, 0, 36, 42, 42, 38, 0, 36, 42
intro: 36, 0, 42, 42, 38, 36, 36, 42, 38, 42, 0, 36
intro_roll: 36, 38, 42, 38, 36, 38, 42, 42, 42, 36, 38, 42
intro_roll: 36, 42, 42, 38, 42, 36, 36, 38, 42, 42, 36, 42
intro_roll: 36, 38, 42, 42, 36, 42, 38, 36, 42, 42, 42, 36
intro_roll: 36, 36, 42, 38, 42, 42, 36, 42, 38, 42, 36, 36
intro_roll: 36, 42, 42, 38, 42, 38, 36, 42, 42, 42, 36, 42
verse: 36, 42, 0, 38, 42, 0, 36, 42, 38, 42, 0, 36
verse: 36, 0, 42, 42, 38, 36, 36, 42, 38, 42, 0, 36
verse: 36, 42, 38, 42, 36, 0, 42, 38, 36, 42, 42, 0
verse: 36, 36, 42, 38, 42, 36, 42, 42, 38, 36, 42, 0
verse: 36, 42, 42, 36, 38, 42, 36, 42, 38, 0, 36, 42
verse_roll: 36, 42, 38, 42, 36, 38, 42, 42, 42, 36, 38, 42
verse_roll: 36, 36, 42, 38, 42, 42, 36, 42, 38, 42, 36, 36
verse_roll: 36, 38, 42, 42, 36, 42, 38, 36, 42, 42, 42, 36
verse_roll: 36, 42, 42, 38, 42, 36, 36, 42, 38, 42, 36, 42
verse_roll: 36, 36, 42, 42, 38, 36, 42, 42, 36, 42, 36, 42
chorus: 36, 42, 42, 38, 42, 36, 36, 42, 38, 42, 42, 36
chorus: 36, 0, 42, 38, 42, 42, 36, 0, 42, 38, 42, 36
chorus: 36, 42, 0, 38, 42, 0, 36, 42, 38, 42, 36, 0
chorus: 36, 36, 42, 38, 42, 36, 42, 42, 38, 36, 42, 0
chorus: 36, 42, 42, 36, 38, 42, 36, 42, 38, 0, 36, 42
chorus_roll: 36, 38, 42, 42, 36, 42, 38, 36, 42, 42, 42, 36
chorus_roll: 36, 36, 42, 38, 42, 42, 36, 42, 38, 42, 36, 36
chorus_roll: 36, 42, 42, 38, 42, 36, 36, 42, 38, 42, 36, 42
chorus_roll: 36, 36, 42, 42, 38, 36, 42, 42, 36, 42, 36, 42
chorus_roll: 36, 42, 42, 38, 42, 38, 36, 42, 42, 42, 36, 42
bridge: 36, 42, 38, 42, 0, 36, 42, 42, 38, 0, 36, 42
bridge: 36, 36, 42, 38, 42, 36, 42, 42, 38, 36, 42, 0
bridge: 36, 42, 42, 38, 42, 36, 36, 42, 38, 42, 0, 36
bridge: 36, 0, 42, 42, 38, 36, 36, 42, 38, 42, 0, 36
bridge: 36, 42, 38, 42, 36, 0, 42, 38, 36, 42, 42, 0
bridge_roll: 36, 38, 42, 42, 36, 42, 38, 36, 42, 42, 42, 36
bridge_roll: 36, 36, 42, 38, 42, 42, 36, 42, 38, 42, 36, 36
bridge_roll: 36, 42, 42, 38, 42, 36, 36, 42, 38, 42, 36, 42
bridge_roll: 36, 36, 42, 42, 38, 36, 42, 42, 36, 42, 36, 42
bridge_roll: 36, 42, 42, 38, 42, 38, 36, 42, 42, 42, 36, 42
outro: 36, 0, 42, 38, 42, 0, 36, 42, 38, 42, 0, 36
outro: 36, 36, 42, 0, 38, 42, 0, 36, 42, 38, 42, 36
outro: 36, 42, 38, 42, 0, 36, 42, 42, 38, 0, 36, 42
outro: 36, 0, 42, 42, 38, 36, 36, 42, 38, 42, 0, 36
outro: 36, 42, 38, 42, 36, 0, 42, 38, 36, 42, 42, 0
outro_roll: 36, 42, 42, 38, 42, 38, 36, 42, 42, 42, 36, 42
outro_roll: 36, 36, 42, 42, 38, 36, 42, 42, 36, 42, 36, 42
outro_roll: 36, 42, 42, 38, 42, 36, 36, 42, 38, 42, 36, 42
outro_roll: 36, 36, 42, 38, 42, 36, 42, 42, 38, 36, 42, 0
outro_roll: 36, 38, 42, 42, 36, 42, 38, 36, 42, 42, 42, 36
