intro: 36, 42, 38, 36, 51, 42, 36
intro: 42, 36, 49, 38, 36, 42, 51
intro: 36, 51, 38, 42, 49, 42, 36
intro: 49, 36, 42, 38, 42, 36, 51
intro: 38, 42, 36, 51, 38, 42, 36
intro_roll: 36, 38, 42, 36, 49, 42, 38
intro_roll: 42, 36, 42, 51, 38, 36, 42
intro_roll: 49, 42, 36, 38, 42, 51, 38
intro_roll: 38, 42, 36, 42, 36, 51, 42
verse: 42, 36, 49, 42, 38, 36, 51
verse: 36, 42, 38, 49, 42, 38, 36
verse: 42, 38, 36, 42, 51, 36, 38
verse: 38, 36, 51, 42, 38, 49, 42
verse: 36, 42, 51, 38, 42, 36, 49
verse_roll: 36, 42, 38, 42, 36, 49, 38
verse_roll: 42, 36, 42, 51, 38, 36, 42
verse_roll: 38, 49, 42, 38, 36, 42, 51
chorus: 36, 42, 38, 49, 36, 42, 38
chorus: 42, 51, 38, 42, 36, 38, 42
chorus: 38, 42, 49, 36, 38, 42, 51
chorus: 42, 36, 42, 38, 49, 36, 38
chorus: 51, 42, 36, 38, 42, 49, 38
chorus_roll: 38, 36, 42, 51, 42, 38, 36
chorus_roll: 42, 38, 49, 36, 42, 38, 42
chorus_roll: 36, 42, 38, 42, 36, 51, 38
bridge: 36, 42, 38, 49, 36, 42, 51
bridge: 42, 36, 38, 42, 51, 36, 49
bridge: 36, 42, 38, 36, 49, 42, 51
bridge: 42, 38, 36, 51, 42, 38, 36
bridge: 38, 42, 36, 42, 36, 51, 49
bridge_roll: 36, 42, 38, 42, 36, 49, 38
bridge_roll: 38, 42, 36, 51, 42, 38, 36
bridge_roll: 42, 36, 38, 42, 49, 42, 38
outro: 36, 42, 38, 49, 36, 42, 51
outro: 42, 36, 38, 42, 51, 36, 38
outro: 49, 42, 36, 42, 38, 49, 42
outro: 36, 51, 38, 42, 36, 42, 38
outro: 42, 36, 49, 38, 42, 51, 36
outro_roll: 38, 42, 36, 42, 38, 49, 36
outro_roll: 42, 38, 36, 51, 42, 38, 42
outro_roll: 36, 42, 49, 38, 36, 42, 51
outro_roll: 38, 42, 36, 49, 42, 51, 36
